export_id,leap_module,dataset_id,source_path,target_path,required_gate,status
LEAP_DEMAND_RESIDENTIAL,Demand,RW_RES_COOK_FUEL_SHARE,data/master/normalized/leap/demand/residential/RW_RES_COOK_FUEL_SHARE.csv,data/master/exports/leap/RW_RES_COOK_FUEL_SHARE_LEAP.csv,sdmx_and_validation,blocked_until_validated
LEAP_DEMAND_TRANSPORT,Demand,RW_TRANSPORT_FUEL_TJ,data/master/normalized/leap/demand/transport/RW_TRANSPORT_FUEL_TJ.csv,data/master/exports/leap/RW_TRANSPORT_FUEL_TJ_LEAP.csv,sdmx_and_validation,blocked_until_validated
LEAP_TRANSFORMATION_GENERATION,Transformation,RW_PWR_GEN_TECH_GWH,data/master/normalized/leap/transformation/generation/RW_PWR_GEN_TECH_GWH.csv,data/master/exports/leap/RW_PWR_GEN_TECH_GWH_LEAP.csv,sdmx_and_validation,blocked_until_validated
LEAP_TRANSFORMATION_CAPACITY,Transformation,RW_PWR_CAP_TECH_MW,data/master/normalized/leap/transformation/generation/RW_PWR_CAP_TECH_MW.csv,data/master/exports/leap/RW_PWR_CAP_TECH_MW_LEAP.csv,sdmx_and_validation,blocked_until_validated
LEAP_RESOURCES_BIOMASS,Resources,RW_BIOMASS_CHARCOAL_TJ,data/master/normalized/leap/resources/biomass_charcoal/RW_BIOMASS_CHARCOAL_TJ.csv,data/master/exports/leap/RW_BIOMASS_CHARCOAL_TJ_LEAP.csv,sdmx_and_validation,blocked_until_validated
LEAP_SOCIOECONOMIC,Key Assumptions,RW_SOCIO_GDP_POP,data/master/normalized/leap/socioeconomic/RW_SOCIO_GDP_POP.csv,data/master/exports/leap/RW_SOCIO_GDP_POP_LEAP.csv,sdmx_and_validation,blocked_until_validated
LEAP_EMISSIONS,Effects,RW_EF_FUEL_IPCC,data/master/normalized/leap/emissions/RW_EF_FUEL_IPCC.csv,data/master/exports/leap/RW_EF_FUEL_IPCC_LEAP.csv,sdmx_and_validation,blocked_until_validated

